Name,CastCount,ChargeCount,1LB_2obj,1LB_2,1LB_3,1LB_Best,1LB_2Ratio,1LB_3Ratio,1LB_2Time,1LB_3Time,2CIObj1,2CIObj2,2CIObj3,2CIObj4,2CIObjTotal,2CITime,3DCAObj1,3DCAObj2,3DCAObj3,3DCAObj4,3DCAObjTotal,3DCAIters,3DCATime,4DCHObj1,4DCHObj2,4DCHObj3,4DCHObj4,4DCHObjTotal,4DCHTime,5MIObj1,5MIObj2,5MIObj3,5MIObj4,5MIObjTotal,5MIinitLB,5MIfinalLB,5MITimeLimit,5MITime,ImprovTotal,ObjGap,TimeTotal
me_11,4,21,2153.0,2153.0,2153.0,2153.0,1.0,1.0,2.41,0.28,0.0,81.0,783.0,1463.0,2367.5,0.66,0.0,0.0,914.0,1286.0,2200.0,1,2.7,0.0,0.0,997.0,1178.0,2175.0,9.5,0.0,0.0,1030.0,1134.0,2164.0,2153.0,2153.0,584.4871548652649,584.56,0.09403881700554528,0.005109150023223409,600.1099999999999
me_12,4,22,2532.0,2532.0,2530.0,2532.0,1.0,0.9992101105845181,2.56,0.36,0.0,193.0,1214.0,1359.0,2862.5,1.77,0.0,48.0,1198.0,1397.0,2667.0,1,4.55,0.0,14.0,1189.0,1379.0,2589.0,35.81,0.0,9.0,1202.0,1367.0,2582.5,2532.0,2532.0,554.9811210632324,555.07,0.10842207163601161,0.019944707740916272,600.12
me_13,4,22,1351.0,1351.0,1348.0,1351.0,1.0,0.997779422649889,3.53,0.32,0.0,99.0,722.0,672.0,1542.5,2.55,0.0,29.0,728.0,667.0,1438.5,1,2.7,0.0,17.0,758.0,612.0,1395.5,44.03,0.0,17.0,758.0,612.0,1395.5,1351.0,1351.0,546.8941149234772,546.97,0.1053385883195987,0.03293856402664693,600.1
me_14,3,18,1763.0,1763.0,1763.0,1763.0,1.0,1.0,1.26,0.19,0.0,73.0,559.0,1214.0,1882.5,1.04,0.0,13.0,618.0,1152.0,1789.5,1,3.57,0.0,5.0,597.0,1173.0,1777.5,5.3,0.0,2.0,602.0,1161.0,1766.0,1763.0,1766.0,588.6455101394654,194.09,0.0659682899207248,0.0,205.45
me_15,4,21,1869.0,1869.0,1868.0,1869.0,1.0,0.9994649545211343,3.35,0.22,0.0,85.0,573.0,1379.0,2079.5,1.3,0.0,19.0,725.0,1166.0,1919.5,1,2.94,0.0,7.0,676.0,1203.0,1889.5,3.98,0.0,7.0,659.0,1213.0,1882.5,1869.0,1882.5,588.2102520561218,199.99,0.10464807436918991,0.0,211.78
me_16,3,18,1917.0,1917.0,1917.0,1917.0,1.0,1.0,0.58,0.27,0.0,60.0,784.0,1173.0,2047.0,1.8,0.0,29.0,784.0,1179.0,2006.5,1,4.81,0.0,29.0,800.0,1153.0,1996.5,25.17,0.0,9.0,1042.0,891.0,1946.5,1917.0,1917.0,567.3798362541198,567.48,0.051631132802465965,0.015388628064684403,600.11
me_17,4,22,2947.0,2947.0,2933.0,2947.0,1.0,0.995249406175772,6.31,0.36,0.0,225.0,1354.0,1673.0,3364.5,5.53,0.0,133.0,1319.0,1734.0,3252.5,1,7.45,0.0,34.0,1407.0,1576.0,3034.0,63.86,0.0,19.0,1385.0,1592.0,3005.5,2947.0,2947.0,516.5123014831543,516.68,0.11944767925469972,0.01985069562266712,600.1899999999999
me_18,4,24,2078.0,2078.0,2076.0,2078.0,1.0,0.9990375360923965,4.86,0.43,0.0,160.0,730.0,1352.0,2322.0,5.59,0.0,98.0,716.0,1380.0,2243.0,1,3.91,0.0,74.0,732.0,1348.0,2191.0,46.09,0.0,70.0,732.0,1348.0,2185.0,2078.0,2078.0,539.1522793674469,539.22,0.06270022883295194,0.05149181905678537,600.1
me_19,3,17,1514.0,1514.0,1510.0,1514.0,1.0,0.9973579920739762,4.0,0.24,0.0,102.0,606.0,936.0,1695.0,3.7,0.0,59.0,493.0,1032.0,1613.5,1,7.41,0.0,35.0,494.0,1033.0,1579.5,40.42,0.0,41.0,397.0,1117.0,1575.5,1514.0,1514.0,544.228000574112,544.31,0.07584893684544589,0.040620871862615586,600.0799999999999
me_20,3,18,1524.0,1524.0,1515.0,1524.0,1.0,0.9940944881889764,0.77,0.17,0.0,123.0,823.0,706.0,1713.5,4.06,0.0,52.0,989.0,550.0,1617.0,1,4.15,0.0,25.0,968.0,571.0,1576.5,27.45,0.0,13.0,976.0,559.0,1554.5,1524.0,1524.0,563.4047937107086,563.46,0.10228369250562883,0.020013123359580054,600.0600000000001
me_21,4,23,2476.0,2476.0,2474.0,2476.0,1.0,0.9991922455573505,11.34,0.27,0.0,146.0,920.0,1762.0,2901.0,3.26,0.0,115.0,1050.0,1552.0,2774.5,1,5.05,0.0,77.0,1036.0,1582.0,2733.5,63.23,0.0,77.0,1036.0,1582.0,2733.5,2476.0,2476.0,516.8615850162506,516.93,0.06127675141759649,0.1039983844911147,600.0799999999999
me_22,3,17,1142.0,1142.0,1142.0,1142.0,1.0,1.0,0.62,0.18,0.0,0.0,383.0,841.0,1224.0,2.93,0.0,0.0,383.0,841.0,1224.0,1,1.55,0.0,14.0,297.0,869.0,1187.0,10.14,0.0,1.0,300.0,881.0,1182.5,1142.0,1182.5,584.5977473545074,116.6,0.03509513742071882,0.0,132.01999999999998
me_23,3,17,1337.0,1337.0,1336.0,1337.0,1.0,0.9992520568436799,0.62,0.18,0.0,31.0,674.0,708.0,1428.5,0.75,0.0,20.0,692.0,666.0,1388.0,1,1.87,0.0,0.0,728.0,621.0,1349.0,5.66,0.0,0.0,738.0,606.0,1344.0,1337.0,1337.0,590.9451884746552,591.0,0.06287202380952381,0.005235602094240838,600.08
me_24,4,22,1909.0,1909.0,1900.0,1909.0,1.0,0.9952854897852279,3.55,0.28,0.0,50.0,699.0,1364.0,2138.0,2.35,0.0,10.0,868.0,1098.0,1981.0,1,3.65,0.0,2.0,899.0,1044.0,1946.0,42.19,0.0,2.0,899.0,1044.0,1946.0,1909.0,1909.0,547.9983526229859,548.06,0.0986639260020555,0.019381875327396544,600.0799999999999
me_25,3,15,1115.0,1115.0,1112.0,1115.0,1.0,0.9973094170403587,0.45,0.23,0.0,29.0,310.0,844.0,1197.5,2.86,0.0,31.0,323.0,812.0,1181.5,1,1.99,0.0,9.0,335.0,804.0,1152.5,11.43,0.0,9.0,305.0,832.0,1150.5,1115.0,1143.0,583.0506695842743,583.1,0.04085180356366797,0.006561679790026247,600.0600000000001
me_26,4,23,1940.0,1940.0,1937.0,1940.0,1.0,0.9984536082474227,10.65,0.25,0.0,255.0,834.0,1200.0,2416.5,10.72,0.0,192.0,794.0,1214.0,2296.0,1,18.01,0.0,173.0,773.0,1231.0,2263.5,83.56,0.0,172.0,770.0,1234.0,2262.0,1940.0,1940.0,476.8087623405456,476.88,0.06830238726790451,0.16597938144329896,600.0699999999999
me_27,4,23,2529.0,2529.0,2522.0,2529.0,1.0,0.9972321075523922,3.06,0.27,0.0,146.0,1081.0,1625.0,2925.0,1.66,0.0,62.0,1213.0,1369.0,2675.0,1,7.61,0.0,31.0,1256.0,1301.0,2603.5,28.54,0.0,35.0,1248.0,1293.0,2593.5,2529.0,2536.0,558.866040019989,558.94,0.12781954887218044,0.022673501577287068,600.08
me_28,4,21,1915.0,1915.0,1901.0,1915.0,1.0,0.9926892950391645,8.08,0.21,0.0,104.0,910.0,1119.0,2185.0,2.85,0.0,15.0,935.0,1060.0,2017.5,1,8.23,0.0,14.0,973.0,983.0,1977.0,40.21,0.0,19.0,979.0,969.0,1976.5,1915.0,1915.0,540.4246006298065,540.49,0.10548950164432076,0.032114882506527415,600.07
me_29,3,16,1354.0,1354.0,1348.0,1354.0,1.0,0.9955686853766618,0.76,0.2,0.0,81.0,523.0,860.0,1504.5,1.41,0.0,43.0,521.0,863.0,1448.5,1,1.92,0.0,31.0,530.0,856.0,1432.5,41.55,0.0,21.0,512.0,865.0,1408.5,1354.0,1354.0,554.1817553901673,554.22,0.06815761448349308,0.04025110782865583,600.0600000000001
me_30,4,20,2878.0,2878.0,2866.0,2878.0,1.0,0.9958304378040306,4.72,0.26,0.0,80.0,1180.0,1964.0,3264.0,1.55,0.0,35.0,1238.0,1847.0,3137.5,1,3.74,0.0,13.0,1251.0,1800.0,3070.5,24.55,0.0,6.0,1284.0,1746.0,3039.0,2878.0,2924.0,565.1959545612335,565.25,0.07403751233958539,0.0393296853625171,600.07
me_31,4,21,2156.0,2156.0,2148.0,2156.0,1.0,0.9962894248608535,8.37,0.22,0.0,68.0,987.0,1462.0,2551.0,8.89,0.0,84.0,623.0,1741.0,2490.0,1,21.44,0.0,41.0,571.0,1795.0,2427.5,71.95,0.0,32.0,565.0,1804.0,2417.0,2156.0,2156.0,489.12766053199766,489.21,0.05544062887877534,0.12105751391465677,600.0799999999999
me_32,3,18,1952.0,1952.0,1942.0,1952.0,1.0,0.9948770491803278,1.24,0.3,0.0,40.0,730.0,1261.0,2051.0,1.78,0.0,10.0,681.0,1289.0,1985.0,1,5.86,0.0,6.0,681.0,1283.0,1973.0,19.79,0.0,4.0,687.0,1267.0,1960.0,1952.0,1952.0,571.0531943702698,571.12,0.04642857142857143,0.004098360655737705,600.09
me_33,3,16,1425.0,1425.0,1424.0,1425.0,1.0,0.9992982456140351,0.7,0.18,0.0,44.0,745.0,724.0,1535.0,0.76,0.0,9.0,751.0,720.0,1484.5,1,1.42,0.0,3.0,755.0,705.0,1464.5,10.67,0.0,0.0,756.0,702.0,1458.0,1425.0,1458.0,586.2690189170837,103.76,0.05281207133058985,0.0,117.49000000000001
me_34,4,23,3073.0,3073.0,3051.0,3073.0,1.0,0.9928408721119427,8.92,0.48,0.0,125.0,982.0,2343.0,3512.5,5.57,0.0,24.0,1066.0,2094.0,3196.0,1,8.73,0.0,37.0,1210.0,1882.0,3147.5,35.29,0.0,32.0,1226.0,1862.0,3136.0,3073.0,3081.5,541.0320220947266,541.19,0.12005739795918367,0.017686191789712803,600.1800000000001
me_35,4,24,2546.0,2546.0,2542.0,2546.0,1.0,0.9984289080911233,4.3,0.35,0.0,149.0,803.0,1979.0,3005.5,7.64,0.0,30.0,976.0,1804.0,2825.0,1,8.4,0.0,29.0,954.0,1794.0,2791.5,42.82,0.0,33.0,946.0,1764.0,2759.5,2546.0,2546.0,536.5099255084991,536.6,0.08914658452618228,0.08385703063629223,600.11
me_36,3,16,1685.0,1685.0,1685.0,1685.0,1.0,1.0,0.64,0.19,0.0,70.0,825.0,918.0,1848.0,0.79,0.0,1.0,822.0,886.0,1709.5,1,1.31,0.0,0.0,825.0,880.0,1705.0,2.61,0.0,3.0,835.0,850.0,1689.5,1685.0,1689.5,594.4682936763763,244.62,0.09381473808819177,0.0,250.16
me_37,3,17,1432.0,1432.0,1432.0,1432.0,1.0,1.0,0.76,0.2,0.0,37.0,703.0,760.0,1518.5,0.75,0.0,15.0,737.0,702.0,1461.5,1,1.7,0.0,0.0,759.0,678.0,1437.0,0.95,0.0,0.0,740.0,692.0,1432.0,1432.0,1432.0,595.6476994991302,9.56,0.060405027932960896,0.0,13.920000000000002
me_38,3,16,1484.0,1484.0,1484.0,1484.0,1.0,1.0,0.91,0.17,0.0,69.0,575.0,922.0,1600.5,0.75,0.0,7.0,626.0,870.0,1506.5,1,3.53,0.0,0.0,550.0,942.0,1492.0,24.03,0.0,0.0,614.0,878.0,1492.0,1484.0,1484.0,570.5861123466492,570.65,0.07272117962466489,0.005390835579514825,600.04
me_39,3,17,1863.0,1863.0,1863.0,1863.0,1.0,1.0,0.61,0.21,0.0,53.0,519.0,1370.0,1968.5,0.77,0.0,17.0,561.0,1313.0,1899.5,1,1.42,0.0,0.0,546.0,1328.0,1874.0,1.51,0.0,0.0,601.0,1262.0,1863.0,1863.0,1863.0,595.4766070842743,5.98,0.05662909286097692,0.0,10.5
me_40,4,22,1979.0,1979.0,1970.0,1979.0,1.0,0.9954522486104093,11.49,0.25,0.0,105.0,961.0,1093.0,2211.5,2.67,0.0,13.0,1190.0,939.0,2148.5,1,3.77,0.0,2.0,932.0,1102.0,2037.0,31.19,0.0,2.0,976.0,1058.0,2037.0,1979.0,2003.0,550.6650470161438,550.74,0.0856651939126166,0.016974538192710935,600.11
me_41,4,22,2691.0,2691.0,2686.0,2691.0,1.0,0.9981419546636938,8.32,0.23,0.0,213.0,968.0,1831.0,3118.5,4.57,0.0,31.0,1648.0,1207.0,2901.5,1,13.65,0.0,21.0,1593.0,1273.0,2897.5,61.88,0.0,20.0,1598.0,1253.0,2881.0,2691.0,2691.0,511.3613600063324,511.45,0.08243665393960431,0.07060572277963582,600.1
me_42,3,18,1520.0,1520.0,1520.0,1520.0,1.0,1.0,1.01,0.18,0.0,28.0,662.0,894.0,1598.0,1.22,0.0,17.0,675.0,865.0,1565.5,1,2.31,0.0,1.0,650.0,900.0,1551.5,22.81,0.0,12.0,677.0,849.0,1544.0,1520.0,1520.0,572.4928450202942,572.55,0.034974093264248704,0.015789473684210527,600.0799999999999
me_43,4,22,1914.0,1914.0,1904.0,1914.0,1.0,0.9947753396029259,3.43,0.27,0.0,70.0,527.0,1456.0,2088.0,1.06,0.0,22.0,485.0,1467.0,1985.0,1,5.63,0.0,22.0,497.0,1443.0,1973.0,14.09,0.0,16.0,510.0,1422.0,1956.0,1914.0,1914.0,575.5337162971497,575.62,0.06748466257668712,0.0219435736677116,600.1
me_44,3,17,1327.0,1327.0,1324.0,1327.0,1.0,0.9977392614920875,2.41,0.22,0.0,69.0,624.0,770.0,1497.5,2.15,0.0,64.0,603.0,769.0,1468.0,1,1.92,0.0,5.0,517.0,935.0,1459.5,37.83,0.0,24.0,430.0,977.0,1443.0,1327.0,1340.0,555.4735814380646,555.52,0.037768537768537766,0.07686567164179105,600.05
me_45,4,20,1700.0,1700.0,1699.0,1700.0,1.0,0.9994117647058823,6.28,0.22,0.0,67.0,771.0,1001.0,1872.5,1.05,0.0,75.0,760.0,970.0,1842.5,1,5.72,0.0,7.0,881.0,871.0,1762.5,43.11,0.0,13.0,736.0,993.0,1748.5,1700.0,1732.0,543.6501333236695,543.73,0.07091792965398913,0.009526558891454965,600.11
me_46,4,20,1466.0,1466.0,1466.0,1466.0,1.0,1.0,1.8,0.25,0.0,73.0,620.0,895.0,1624.5,2.36,0.0,66.0,623.0,883.0,1605.0,1,4.35,0.0,32.0,629.0,878.0,1555.0,53.68,0.0,31.0,626.0,880.0,1552.5,1466.0,1479.66,537.5853578567505,537.64,0.0463768115942029,0.04922752524228533,600.0799999999999
me_47,4,24,3097.0,3097.0,3095.0,3097.0,1.0,0.999354213755247,4.37,0.39,0.0,218.0,1559.0,1571.0,3457.0,2.58,0.0,40.0,1428.0,1687.0,3175.0,1,8.63,0.0,3.0,1413.0,1702.0,3119.5,7.62,0.0,3.0,1413.0,1702.0,3119.5,3097.0,3097.0,576.435620803833,576.54,0.10819041513062991,0.007265095253471101,600.13
me_48,4,23,2496.0,2496.0,2494.0,2496.0,1.0,0.999198717948718,10.82,0.28,0.0,169.0,1124.0,1427.0,2804.5,2.9,0.0,19.0,1217.0,1291.0,2536.5,1,2.77,0.0,4.0,1250.0,1258.0,2514.0,5.8,0.0,4.0,1256.0,1252.0,2514.0,2496.0,2496.0,577.4420913124085,577.55,0.11555290373906126,0.007211538461538462,600.12
me_49,3,17,1285.0,1285.0,1285.0,1285.0,1.0,1.0,0.85,0.18,0.0,61.0,446.0,864.0,1401.5,1.18,0.0,41.0,490.0,821.0,1372.5,1,4.7,0.0,21.0,367.0,944.0,1342.5,33.59,0.0,5.0,385.0,908.0,1300.5,1285.0,1285.0,559.5169121742249,559.58,0.07766243752402922,0.012062256809338522,600.08
me_50,4,21,2131.5,2131.5,2125.0,2131.5,1.0,0.9969505043396669,7.08,0.15,0.0,199.0,1048.0,1196.0,2542.5,4.77,0.0,184.0,1060.0,1178.0,2514.0,1,15.54,0.0,111.0,1111.0,1132.0,2409.5,102.28,0.0,98.0,1126.0,1109.0,2382.0,2131.5,2131.5,470.1934275341034,470.26,0.06738035264483627,0.1175228712174525,600.0799999999999
me_51,3,16,1052.0,1052.0,1046.0,1052.0,1.0,0.9942965779467681,3.41,0.11,0.0,42.0,381.0,697.0,1141.0,1.19,0.0,26.0,421.0,657.0,1117.0,1,5.55,0.0,5.0,481.0,579.0,1067.5,16.23,0.0,5.0,481.0,579.0,1067.5,1052.0,1067.5,573.5101372718811,111.28,0.06885245901639345,0.0,137.77
me_52,4,22,2429.0,2429.0,2354.0,2429.0,1.0,0.9691230959242486,9.54,0.31,0.0,163.0,1341.0,1277.0,2862.5,3.87,0.0,138.0,1341.0,1277.0,2825.0,1,11.38,0.0,135.0,1310.0,1269.0,2781.5,64.51,0.0,101.0,1330.0,1258.0,2739.5,2429.0,2429.0,510.4171939277649,510.6,0.04489870414309181,0.12783038287361054,600.21
me_53,4,23,2072.0,2072.0,2067.0,2072.0,1.0,0.9975868725868726,6.88,0.27,0.0,73.0,921.0,1320.0,2350.5,3.15,0.0,38.0,986.0,1212.0,2255.0,1,3.83,0.0,37.0,941.0,1257.0,2253.5,42.82,0.0,37.0,945.0,1237.0,2237.5,2072.0,2072.0,543.0724744510651,543.15,0.050502793296089386,0.07987451737451738,600.1
me_54,3,17,1387.0,1387.0,1365.0,1387.0,1.0,0.9841384282624369,0.88,0.21,0.0,157.0,564.0,901.0,1700.5,2.7,0.0,101.0,570.0,898.0,1619.5,1,3.15,0.0,60.0,565.0,932.0,1587.0,46.24,0.0,65.0,561.0,919.0,1577.5,1387.0,1387.0,546.824821023941,546.89,0.07797147385103011,0.1373467916366258,600.0699999999999
me_55,3,18,1412.0,1412.0,1398.0,1412.0,1.0,0.990084985835694,1.13,0.21,0.0,70.0,628.0,841.0,1574.0,2.36,0.0,54.0,622.0,849.0,1552.0,1,5.43,0.0,54.0,530.0,907.0,1518.0,31.6,0.0,54.0,530.0,907.0,1518.0,1412.0,1449.0,559.2942370510101,559.34,0.03689064558629776,0.047619047619047616,600.07
me_56,3,15,1253.0,1253.0,1253.0,1253.0,1.0,1.0,0.89,0.16,0.0,44.0,538.0,748.0,1352.0,0.92,0.0,6.0,532.0,757.0,1298.0,1,1.2,0.0,0.0,536.0,751.0,1287.0,8.79,0.0,2.0,563.0,695.0,1261.0,1253.0,1261.0,588.0473820877075,106.99,0.07216494845360824,0.0,118.94999999999999
me_57,3,17,1439.0,1439.0,1433.0,1439.0,1.0,0.9958304378040306,0.79,0.23,0.0,72.0,716.0,758.0,1582.0,2.83,0.0,21.0,610.0,839.0,1480.5,1,7.43,0.0,0.0,541.0,908.0,1449.0,19.53,0.0,0.0,535.0,914.0,1449.0,1439.0,1439.0,569.1932296943664,569.25,0.09178743961352658,0.006949270326615705,600.06
me_58,3,16,1313.0,1313.0,1313.0,1313.0,1.0,1.0,0.57,0.16,0.0,23.0,381.0,1045.0,1460.5,1.34,0.0,0.0,465.0,963.0,1428.0,1,1.39,0.0,3.0,529.0,873.0,1406.5,41.34,0.0,32.0,431.0,896.0,1375.0,1313.0,1325.0,555.2171109294891,555.29,0.06218181818181818,0.03773584905660377,600.0899999999999
me_59,3,17,889.0,889.0,880.0,889.0,1.0,0.9898762654668166,0.93,0.3,0.0,87.0,353.0,583.0,1066.5,2.89,0.0,66.0,364.0,541.0,1004.0,1,3.61,0.0,28.0,358.0,551.0,951.0,26.9,0.0,23.0,337.0,576.0,947.5,889.0,922.0,565.391352443695,565.44,0.12559366754617415,0.027657266811279828,600.07
me_60,3,15,1117.0,1117.0,1109.0,1117.0,1.0,0.9928379588182632,2.17,0.19,0.0,48.0,280.0,856.0,1208.0,2.01,0.0,38.0,282.0,848.0,1187.0,1,1.47,0.0,33.0,281.0,852.0,1182.5,20.55,0.0,17.0,234.0,912.0,1171.5,1117.0,1150.0,573.6044052791596,573.65,0.031156636790439608,0.018695652173913044,600.04
me_61,4,24,2245.0,2245.0,2239.0,2245.0,1.0,0.9973273942093541,4.15,0.39,0.0,74.0,861.0,1662.0,2634.0,6.14,0.0,17.0,892.0,1515.0,2432.5,1,5.83,0.0,25.0,941.0,1420.0,2398.5,17.5,0.0,44.0,962.0,1327.0,2355.0,2245.0,2245.0,566.0087770462036,566.09,0.11847133757961784,0.04899777282850779,600.1
me_62,4,21,1834.0,1834.0,1830.0,1834.0,1.0,0.9978189749182116,2.32,0.23,0.0,71.0,561.0,1459.0,2126.5,2.58,0.0,73.0,530.0,1407.0,2046.5,1,6.03,0.0,7.0,712.0,1182.0,1904.5,30.75,0.0,3.0,714.0,1176.0,1894.5,1834.0,1834.0,558.1121210479737,558.18,0.12245975191343363,0.03298800436205016,600.0899999999999
me_63,4,22,2271.0,2271.0,2237.0,2271.0,1.0,0.9850286217525319,9.54,0.26,0.0,139.0,1217.0,1076.0,2501.5,5.17,0.0,99.0,1223.0,1056.0,2427.5,1,5.31,0.0,61.0,1213.0,1070.0,2374.5,45.34,0.0,53.0,1241.0,1038.0,2358.5,2271.0,2271.0,534.3995342922211,534.47,0.06063175747297011,0.03852928225451343,600.09
me_64,4,23,2417.0,2417.0,2409.0,2417.0,1.0,0.9966901117087298,7.43,0.3,0.0,112.0,1236.0,1340.0,2744.0,1.61,0.0,62.0,1012.0,1448.0,2553.0,1,15.38,0.0,31.0,1009.0,1433.0,2488.5,28.37,0.0,6.0,915.0,1503.0,2427.0,2417.0,2417.0,546.9136479187011,547.01,0.13061392665842603,0.004137360364087712,600.1
me_65,3,17,1125.0,1125.0,1125.0,1125.0,1.0,1.0,0.71,0.2,0.0,15.0,418.0,768.0,1208.5,2.05,0.0,5.0,377.0,802.0,1186.5,1,3.35,0.0,0.0,380.0,792.0,1172.0,12.76,0.0,27.0,583.0,548.0,1171.5,1125.0,1161.0,580.9245395469666,580.99,0.03158344003414426,0.00904392764857881,600.0600000000001
me_66,4,21,1510.0,1510.0,1503.0,1510.0,1.0,0.9953642384105961,2.06,0.22,0.0,117.0,704.0,829.0,1708.5,1.9,0.0,42.0,806.0,768.0,1637.0,1,3.03,0.0,2.0,773.0,796.0,1572.0,7.67,0.0,3.0,748.0,805.0,1557.5,1510.0,1540.0,585.1406245613098,585.21,0.09695024077046549,0.011363636363636364,600.09
me_67,4,22,2308.0,2308.0,2307.0,2308.0,1.0,0.9995667244367418,3.6,0.31,0.0,186.0,625.0,1748.0,2652.0,3.76,0.0,44.0,575.0,1817.0,2458.0,1,7.46,0.0,11.0,639.0,1721.0,2376.5,27.79,0.0,10.0,670.0,1688.0,2373.0,2308.0,2308.0,557.0981918430329,557.17,0.11757269279393173,0.028162911611785094,600.0899999999999
me_68,4,21,2538.5,2538.5,2517.0,2538.5,1.0,0.9915304313571006,10.62,0.28,0.0,116.0,687.0,1976.0,2837.0,1.83,0.0,80.0,742.0,1901.0,2763.0,1,4.55,0.0,53.0,806.0,1779.0,2664.5,22.38,0.0,42.0,841.0,1744.0,2648.0,2538.5,2566.0,560.3352116775512,560.41,0.07137462235649547,0.03195635229929852,600.0699999999999
